record_type,timestamp_local,outcome,tmdb_title_key,display_title,fetch_summary_head,app_streaming_context,raw_title_context,notes
tmdb_quality,2026-06-30 01:32:52,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-06-30 08:07:39,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-01 15:16:25,SUCCESS,Greyhound,Greyhound,Greyhound,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Greyhound"" raw_query=""Greyhound"" layer_series_title=""Greyhound""",
tmdb_quality,2026-07-01 20:57:48,SUCCESS,Song Sung Blue,Song Sung Blue,Song Sung Blue,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Song Sung Blue (2025)"" raw_query=""Song Sung Blue (2025)"" layer_series_title=""Song Sung Blue (2025)""",
tmdb_quality,2026-07-03 03:04:50,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:08:56,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:09:27,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:12:29,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:20:00,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:22:23,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:31:15,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:33:00,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:39:23,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:46:06,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-07-03 03:52:30,SUCCESS,Taylor Swift _ The Eras Tour _ The Final Show,Taylor Swift | The Eras Tour | The Final Show,Taylor Swift _ The Eras Tour _ The Final Show,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Taylor Swift | The Eras Tour | The Final Show"" raw_query=""Taylor Swift | The Eras Tour | The Final Show"" layer_series_title=""Taylor Swift | The Eras Tour | The Final Show""",
tmdb_quality,2026-07-03 08:59:31,SUCCESS,Taylor Swift _ The Eras Tour _ The Final Show,Taylor Swift | The Eras Tour | The Final Show,Taylor Swift _ The Eras Tour _ The Final Show,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Taylor Swift | The Eras Tour | The Final Show"" raw_query=""Taylor Swift | The Eras Tour | The Final Show"" layer_series_title=""Taylor Swift | The Eras Tour | The Final Show""",
tmdb_quality,2026-07-03 09:07:26,SUCCESS,Bob's Burgers,Bob's Burgers,Bob's Burgers,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Bob's Burgers"" raw_query=""Bob's Burgers"" layer_series_title=""Bob's Burgers""",
